timestamp,total_points,remaining_points
2025-07-28T23:39:55Z,95,94
2025-07-29T07:07:33Z,95,94
2025-07-29T19:06:41Z,97,93
2025-07-30T07:08:46Z,97,93
2025-07-30T19:06:16Z,94,86
2025-07-31T07:07:36Z,94,86
2025-07-31T19:06:37Z,100,89
2025-08-01T07:08:48Z,97,82
2025-08-01T19:05:56Z,97,79
2025-08-02T07:05:18Z,97,77
2025-08-02T19:04:32Z,97,76
2025-08-03T07:05:39Z,99,78
2025-08-03T19:05:02Z,99,78
2025-08-04T07:11:09Z,99,78
2025-08-04T19:06:31Z,99,75
2025-08-05T07:08:38Z,99,75
2025-08-05T19:07:28Z,101,76
2025-08-06T07:09:02Z,101,73
2025-08-06T19:06:34Z,102,66
2025-08-07T07:09:05Z,102,64
2025-08-07T19:06:58Z,99,54
2025-08-08T07:09:05Z,99,54
2025-08-08T19:04:54Z,100,52
2025-08-09T07:04:56Z,100,53
2025-08-09T19:04:08Z,100,53
